author1,author2,weight
A5001535511,A5110693631,1
A5001571015,A5077655412,1
A5001578642,A5004524783,3
A5001578642,A5015791484,1
A5001578642,A5018984886,1
A5001578642,A5020898730,1
A5001578642,A5025269962,1
A5001578642,A5027230229,3
A5001578642,A5051061786,1
A5001578642,A5055331624,1
A5001578642,A5058675695,3
A5001578642,A5063538507,2
A5001578642,A5065799276,1
A5001578642,A5068152561,28
A5001578642,A5069636478,13
A5001578642,A5071861537,4
A5001578642,A5077133020,2
A5001578642,A5078365368,1
A5001578642,A5086651355,17
A5001578642,A5101796909,3
A5001578642,A5102764557,1
A5001578642,A5112723994,1
A5001587608,A5060445865,1
A5001609208,A5081463095,1
A5001631368,A5028914408,1
A5001638765,A5074320413,1
A5001639325,A5009051263,1
A5001639325,A5012547299,1
A5001639325,A5013256501,1
A5001639325,A5016411880,1
A5001639325,A5023180952,1
A5001639325,A5027505543,1
A5001639325,A5031115733,1
A5001639325,A5033217635,1
A5001639325,A5035687606,1
A5001639325,A5038172368,1
A5001639325,A5046351479,1
A5001639325,A5048159776,1
A5001639325,A5055356130,1
A5001639325,A5060009643,1
A5001639325,A5065355043,1
A5001639325,A5080310062,1
A5001639325,A5080576859,1
A5001639325,A5080865312,1
A5001639325,A5083492856,1
A5001639325,A5083749852,1
A5001639325,A5085683797,1
A5001639325,A5086046593,1
A5001639325,A5087071737,1
A5001639325,A5088722533,1
A5001639325,A5090482045,1
A5001639325,A5095224306,1
A5001639325,A5095456939,1
A5001639325,A5095456940,1
A5001639325,A5100319465,1
A5001639325,A5100382667,1
A5001639325,A5100387696,1
A5001639325,A5100530610,1
A5001639325,A5101771615,1
A5001639325,A5102603406,1
A5001639325,A5102849730,1
A5001639325,A5103144100,1
A5001639325,A5104227321,1
A5001639325,A5107945166,1
A5001639325,A5112409463,1
A5001644950,A5007431123,1
A5001644950,A5015720603,2
A5001644950,A5021189098,1
A5001644950,A5028538460,1
A5001644950,A5033774668,2
A5001644950,A5036051612,1
A5001644950,A5043574416,2
A5001644950,A5049722322,2
A5001644950,A5067825449,4
A5001644950,A5070937465,1
A5001644950,A5072094034,2
A5001644950,A5074491971,2
A5001644950,A5075106610,2
A5001644950,A5077133020,1
A5001644950,A5090827263,1
A5001646803,A5069148451,1
A5001654418,A5059722365,1
A5001654418,A5114715803,1
A5001663591,A5074003439,1
A5001667148,A5032322313,1
A5001667148,A5036275243,1
A5001667148,A5078607547,7
A5001667148,A5085855139,5
A5001667148,A5104194109,1
A5001676786,A5005922326,1
A5001680231,A5029945155,1
A5001680231,A5077655077,1
A5001699679,A5049994007,1
A5001701658,A5009786101,1
A5001701658,A5010863533,1
A5001701658,A5015705751,10
A5001701658,A5034850345,1
A5001701658,A5036076717,1
A5001701658,A5051917108,2
A5001701658,A5051966189,1
A5001701658,A5059726220,2
A5001701658,A5066854309,1
A5001701658,A5090391261,1
A5001701658,A5112414668,1
A5001701888,A5007145568,1
A5001701888,A5007426895,1
A5001701888,A5015709853,12
A5001701888,A5062168574,7
A5001701888,A5075871561,1
A5001701888,A5110451680,1
A5001704117,A5042174485,1
A5001704117,A5050323406,2
A5001704117,A5056541269,1
A5001704117,A5072841592,4
A5001707368,A5003881152,1
A5001707368,A5013035006,1
A5001707368,A5019430795,1
A5001707368,A5020969373,1
A5001707368,A5022446290,1
A5001707368,A5028003496,1
A5001707368,A5032876651,1
A5001707368,A5034166869,1
A5001707368,A5041119040,1
A5001707368,A5041351241,1
A5001707368,A5047660178,1
A5001707368,A5054785867,1
A5001707368,A5056511422,1
A5001707368,A5059094659,1
A5001707368,A5061356546,1
A5001707368,A5064369852,1
A5001707368,A5064573837,1
A5001707368,A5065865096,1
A5001707368,A5078810801,1
A5001707368,A5083883066,1
A5001707368,A5086954632,1
A5001707368,A5112397657,1
A5001708818,A5086173090,1
A5001727428,A5019442387,2
A5001727428,A5101760644,1
A5001744220,A5000047704,1
A5001744220,A5019673641,3
A5001744220,A5028914408,1
A5001744220,A5042425900,1
A5001744220,A5043843072,1
A5001744220,A5060521987,1
A5001744220,A5087257542,2
A5001744220,A5090178019,1
A5001744220,A5102982033,2
A5001755935,A5035036508,1
A5001768968,A5041636729,1
A5001768968,A5047084667,1
A5001768968,A5081665953,1
A5001772080,A5061229790,2
A5001810169,A5069392772,1
A5001816665,A5037813372,1
A5001816665,A5040614063,1
A5001816665,A5045467592,1
A5001816665,A5077188403,1
A5001860013,A5004070487,1
A5001860013,A5007541807,4
A5001860013,A5015039212,6
A5001860013,A5018637330,2
A5001860013,A5019327228,1
A5001860013,A5024462443,1
A5001860013,A5025508410,5
A5001860013,A5027386204,1
A5001860013,A5029203723,1
A5001860013,A5032322313,1
A5001860013,A5036275243,1
A5001860013,A5039458731,1
A5001860013,A5043275635,1
A5001860013,A5048563273,1
A5001860013,A5049302452,1
A5001860013,A5049930212,3
A5001860013,A5049967658,1
A5001860013,A5055239116,10
A5001860013,A5055839250,4
